episode,time,pet_at_bowl,bowl_weight,action_dispense,reward
0,212,1,15.11,"{1: 10.0, 2: 15.0}",0
0,213,1,4.41,{},0
0,214,1,-0.05,{},0
0,215,1,12.8,"{1: 10.0, 2: 15.0}",0
0,216,1,2.67,{},0
0,217,1,0.08,{},0
0,218,1,15.08,"{1: 10.0, 2: 15.0}",0
0,219,1,4.98,{},0
0,220,1,-0.01,{},0
0,221,1,15.13,"{1: 10.0, 2: 15.0}",0
0,222,1,5.06,{},0
0,223,1,-0.08,{},0
0,224,1,14.87,"{1: 10.0, 2: 15.0}",0
0,225,1,5.19,{},0
0,226,1,0.03,{},0
0,227,1,15.36,"{1: 10.0, 2: 15.0}",0
0,228,1,4.98,{},0
0,229,1,-0.05,{},0
0,230,1,14.76,"{1: 10.0, 2: 15.0}",0
0,231,1,4.79,{},0
0,232,1,-0.1,{},0
0,233,1,14.61,"{1: 10.0, 2: 15.0}",0
0,234,1,4.69,{},0
0,235,1,-0.03,{},0
0,236,1,15.03,"{1: 10.0, 2: 15.0}",0
0,237,1,5.19,{},0
0,238,1,0.11,{},0
0,239,1,15.18,"{1: 10.0, 2: 15.0}",0
0,240,1,5.21,{},0
0,241,1,0.09,{},0
0,242,1,14.62,"{1: 10.0, 2: 15.0}",0
0,243,1,4.57,{},0
0,244,1,-0.1,{},0
0,245,1,15.04,"{1: 10.0, 2: 15.0}",0
0,246,1,5.46,{},0
0,247,1,-0.07,{},0
0,248,1,14.8,"{1: 10.0, 2: 15.0}",0
0,249,1,4.92,{},0
0,250,1,0.11,{},0
0,251,1,14.92,"{1: 10.0, 2: 15.0}",0
0,252,1,4.67,{},0
0,253,1,-0.12,{},0
0,254,1,15.35,"{1: 10.0, 2: 15.0}",0
0,255,1,5.4,{},0
0,256,1,-0.07,{},0
0,257,1,15.09,"{1: 10.0, 2: 15.0}",0
0,258,1,5.27,{},0
0,259,1,-0.02,{},0
0,260,1,14.65,"{1: 10.0, 2: 15.0}",0
0,261,1,4.66,{},0
0,262,1,0.09,{},0
0,263,1,15.05,"{1: 10.0, 2: 15.0}",0
0,264,1,5.23,{},0
0,265,1,0.12,{},0
0,266,1,14.89,"{1: 10.0, 2: 15.0}",0
0,267,1,4.87,{},0
0,268,1,-0.02,{},0
0,269,1,15.0,"{1: 10.0, 2: 15.0}",0
0,270,1,4.71,{},0
0,271,1,-0.04,{},0
0,272,1,15.02,"{1: 10.0, 2: 15.0}",0
0,273,1,4.52,{},0
0,274,1,0.02,{},0
0,275,1,15.11,"{1: 10.0, 2: 15.0}",0
0,276,1,4.9,{},0
0,277,1,-0.24,{},0
0,278,1,14.87,"{1: 10.0, 2: 15.0}",0
0,279,1,5.05,{},0
0,280,1,0.02,{},0
0,281,1,14.57,"{1: 10.0, 2: 15.0}",0
0,282,1,4.72,{},0
0,283,1,0.0,{},0
0,284,1,15.15,"{1: 10.0, 2: 15.0}",0
0,285,1,4.74,{},0
0,286,1,0.06,{},0
0,287,1,14.85,"{1: 10.0, 2: 15.0}",0
0,288,1,4.69,{},0
0,289,1,-0.2,{},0
0,290,1,14.75,"{1: 10.0, 2: 15.0}",0
0,291,1,4.97,{},0
0,292,1,-0.02,{},0
0,293,1,15.05,"{1: 10.0, 2: 15.0}",0
0,294,1,4.53,{},0
0,295,1,-0.02,{},0
0,296,1,14.82,"{1: 10.0, 2: 15.0}",0
0,297,1,4.81,{},0
0,298,1,-0.09,{},0
0,299,1,14.81,"{1: 10.0, 2: 15.0}",0
0,300,1,4.95,{},0
0,301,1,-0.14,{},0
0,302,1,14.87,"{1: 10.0, 2: 15.0}",0
0,303,1,4.56,{},0
0,304,1,-0.17,{},0
0,305,1,14.8,"{1: 10.0, 2: 15.0}",0
0,306,1,4.91,{},0
0,307,1,0.02,{},0
0,308,1,15.19,"{1: 10.0, 2: 15.0}",0
0,309,1,4.83,{},0
0,310,1,-0.02,{},0
0,311,1,14.9,"{1: 10.0, 2: 15.0}",0
0,312,1,4.71,{},0
0,313,1,-0.01,{},0
0,314,1,14.93,"{1: 10.0, 2: 15.0}",0
0,315,1,5.02,{},0
0,316,1,-0.05,{},0
0,317,1,14.99,"{1: 10.0, 2: 15.0}",0
0,318,1,5.21,{},0
0,319,1,-0.01,{},0
0,320,1,15.38,"{1: 10.0, 2: 15.0}",0
0,321,1,4.95,{},0
0,322,1,0.1,{},0
0,323,1,14.93,"{1: 10.0, 2: 15.0}",0
0,324,1,5.32,{},0
0,325,1,0.03,{},0
0,326,1,15.13,"{1: 10.0, 2: 15.0}",0
0,327,1,3.19,{},0
0,328,1,-0.04,{},0
0,329,1,14.72,"{1: 10.0, 2: 15.0}",0
0,330,1,4.6,{},0
0,331,1,-0.04,{},0
0,332,1,12.87,"{1: 10.0, 2: 15.0}",0
0,333,1,2.89,{},0
0,334,1,-0.05,{},0
0,335,1,14.43,"{1: 10.0, 2: 15.0}",0
0,336,1,4.46,{},0
0,337,1,-0.09,{},0
0,338,1,15.35,"{1: 10.0, 2: 15.0}",0
0,339,1,5.22,{},0
0,340,1,0.08,{},0
0,341,1,15.11,"{1: 10.0, 2: 15.0}",0
0,342,1,4.82,{},0
0,343,1,-0.0,{},0
0,344,1,15.51,"{1: 10.0, 2: 15.0}",0
0,345,1,5.52,{},0
0,346,1,-0.05,{},0
0,347,1,15.18,"{1: 10.0, 2: 15.0}",0
0,348,1,5.08,{},0
0,349,1,-0.14,{},0
0,350,1,14.68,"{1: 10.0, 2: 15.0}",0
0,351,1,5.0,{},0
0,352,1,0.09,{},0
0,353,1,15.12,"{1: 10.0, 2: 15.0}",0
0,354,1,4.96,{},0
0,355,1,-0.07,{},0
0,356,1,15.07,"{1: 10.0, 2: 15.0}",0
0,357,1,4.84,{},0
0,358,1,0.1,{},0
0,359,1,14.85,"{1: 10.0, 2: 15.0}",0
0,360,1,4.81,{},0
0,361,1,-0.16,{},0
0,362,1,12.73,"{1: 10.0, 2: 15.0}",0
0,363,1,3.15,{},0
0,364,1,-0.05,{},0
0,365,1,14.79,"{1: 10.0, 2: 15.0}",0
0,366,1,4.88,{},0
0,367,1,0.06,{},0
0,368,1,14.73,"{1: 10.0, 2: 15.0}",0
0,369,1,4.43,{},0
0,370,1,0.18,{},0
0,371,1,14.9,"{1: 10.0, 2: 15.0}",0
0,372,1,5.09,{},0
0,373,1,-0.18,{},0
0,374,1,15.14,"{1: 10.0, 2: 15.0}",0
0,375,1,4.77,{},0
0,376,1,-0.0,{},0
0,377,1,13.23,"{1: 10.0, 2: 15.0}",0
0,378,1,3.03,{},0
0,379,1,-0.05,{},0
0,380,1,15.13,"{1: 10.0, 2: 15.0}",0
0,381,1,5.13,{},0
0,382,1,-0.01,{},0
0,383,1,15.19,"{1: 10.0, 2: 15.0}",0
0,384,1,4.91,{},0
0,385,1,-0.09,{},0
0,386,1,15.0,"{1: 10.0, 2: 15.0}",0
0,387,1,2.67,{},0
0,388,1,-0.16,{},0
0,389,1,15.14,"{1: 10.0, 2: 15.0}",0
0,390,1,5.15,{},0
0,391,1,0.05,{},0
0,392,1,15.08,"{1: 10.0, 2: 15.0}",0
0,393,1,4.98,{},0
0,394,1,-0.08,{},0
0,395,1,14.9,"{1: 10.0, 2: 15.0}",0
0,396,1,5.17,{},0
0,397,1,0.01,{},0
0,398,1,14.74,"{1: 10.0, 2: 15.0}",0
0,399,1,4.76,{},0
0,400,1,-0.01,{},0
0,401,1,15.02,"{1: 10.0, 2: 15.0}",0
0,402,1,5.05,{},0
0,403,1,-0.17,{},0
0,404,1,14.92,"{1: 10.0, 2: 15.0}",0
0,405,1,5.21,{},0
0,406,1,0.05,{},0
0,407,1,15.28,"{1: 10.0, 2: 15.0}",0
0,408,1,5.6,{},0
0,409,1,-0.0,{},0
0,410,1,14.92,"{1: 10.0, 2: 15.0}",0
0,411,1,4.82,{},0
0,412,1,0.03,{},0
0,413,1,15.58,"{1: 10.0, 2: 15.0}",0
0,414,1,5.38,{},0
0,415,1,0.0,{},0
0,416,1,14.99,"{1: 10.0, 2: 15.0}",0
0,417,1,5.07,{},0
0,418,1,0.05,{},0
0,419,1,15.09,"{1: 10.0, 2: 15.0}",0
0,420,1,5.09,{},0
0,421,1,0.04,{},0
0,422,1,15.04,"{1: 10.0, 2: 15.0}",0
0,423,1,4.78,{},0
0,424,1,-0.26,{},0
0,425,1,14.73,"{1: 10.0, 2: 15.0}",0
0,426,1,4.4,{},0
0,427,1,-0.16,{},0
0,428,1,14.87,"{1: 10.0, 2: 15.0}",0
0,429,1,5.04,{},0
0,430,1,0.0,{},0
0,431,1,15.04,"{1: 10.0, 2: 15.0}",0
0,432,1,2.81,{},0
0,433,1,-0.14,{},0
0,434,1,15.28,"{1: 10.0, 2: 15.0}",0
0,435,1,5.02,{},0
0,436,1,0.07,{},0
0,437,1,14.77,"{1: 10.0, 2: 15.0}",0
0,438,1,4.62,{},0
0,439,1,0.13,{},0
0,440,1,12.81,"{1: 10.0, 2: 15.0}",0
0,441,1,2.69,{},0
0,442,1,0.09,{},0
0,443,1,14.92,"{1: 10.0, 2: 15.0}",0
0,444,1,4.67,{},0
0,445,1,0.09,{},0
0,446,1,14.82,"{1: 10.0, 2: 15.0}",0
0,447,1,5.28,{},0
0,448,1,0.26,{},0
0,449,1,14.77,"{1: 10.0, 2: 15.0}",0
0,450,1,4.82,{},0
0,451,1,-0.09,{},0
0,452,1,15.31,"{1: 10.0, 2: 15.0}",0
0,453,1,5.22,{},0
0,454,1,-0.08,{},0
0,455,1,14.82,"{1: 10.0, 2: 15.0}",0
0,456,1,4.19,{},0
0,457,1,-0.01,{},0
0,458,1,14.98,"{1: 10.0, 2: 15.0}",0
0,459,1,4.79,{},0
0,460,1,0.13,{},0
0,461,1,15.05,"{1: 10.0, 2: 15.0}",0
0,462,1,5.48,{},0
0,463,1,0.04,{},0
0,464,1,15.45,"{1: 10.0, 2: 15.0}",0
0,465,1,5.27,{},0
0,466,1,-0.03,{},0
0,467,1,14.73,"{1: 10.0, 2: 15.0}",0
0,468,1,5.09,{},0
0,469,1,0.04,{},0
0,470,1,15.31,"{1: 10.0, 2: 15.0}",0
0,471,1,5.8,{},0
0,472,1,0.03,{},0
0,473,1,15.34,"{1: 10.0, 2: 15.0}",0
0,474,1,5.17,{},0
0,475,1,0.14,{},0
0,476,1,14.97,"{1: 10.0, 2: 15.0}",0
0,477,1,5.05,{},0
0,478,1,0.23,{},0
0,479,1,12.71,"{1: 10.0, 2: 15.0}",0
0,480,1,0.96,{},0
0,481,1,16.05,"{1: 10.0, 2: 15.0}",0
0,482,1,6.08,{},0
0,483,1,0.07,{},0
0,484,1,15.09,"{1: 10.0, 2: 15.0}",0
0,485,1,5.38,{},0
0,486,1,0.2,{},0
0,487,1,14.9,"{1: 10.0, 2: 15.0}",0
0,488,1,4.75,{},0
0,489,1,0.04,{},0
0,490,1,14.93,"{1: 10.0, 2: 15.0}",0
0,491,1,5.09,{},0
0,492,1,-0.04,{},0
0,493,1,15.28,"{1: 10.0, 2: 15.0}",0
0,494,1,5.13,{},0
0,495,1,-0.08,{},0
0,496,1,15.08,"{1: 10.0, 2: 15.0}",0
0,497,1,3.11,{},0
0,498,1,-0.11,{},0
0,499,1,14.98,"{1: 10.0, 2: 15.0}",0
0,500,1,5.06,{},0
0,501,1,0.02,{},0
0,502,1,15.09,"{1: 10.0, 2: 15.0}",0
0,503,1,4.67,{},0
0,504,1,-0.1,{},0
0,505,1,15.35,"{1: 10.0, 2: 15.0}",0
0,506,1,5.57,{},0
0,507,1,0.02,{},0
0,508,1,14.69,"{1: 10.0, 2: 15.0}",0
0,509,1,4.79,{},0
0,510,1,-0.04,{},0
0,511,1,14.95,"{1: 10.0, 2: 15.0}",0
0,512,1,4.52,{},0
0,513,1,0.11,{},0
0,514,1,14.82,"{1: 10.0, 2: 15.0}",0
0,515,1,4.9,{},0
0,516,1,0.08,{},0
0,517,1,15.31,"{1: 10.0, 2: 15.0}",0
0,518,1,5.41,{},0
0,519,1,0.17,{},0
0,520,1,15.12,"{1: 10.0, 2: 15.0}",0
0,521,1,5.43,{},0
0,522,1,0.04,{},0
0,523,1,14.88,"{1: 10.0, 2: 15.0}",0
0,524,1,4.64,{},0
0,525,1,-0.02,{},0
0,526,1,15.53,"{1: 10.0, 2: 15.0}",0
0,527,1,5.11,{},0
0,528,1,-0.03,{},0
0,529,1,14.89,"{1: 10.0, 2: 15.0}",0
0,530,1,4.64,{},0
0,531,1,0.01,{},0
0,532,1,15.08,"{1: 10.0, 2: 15.0}",0
0,533,1,5.11,{},0
0,534,1,-0.1,{},0
0,535,1,14.71,"{1: 10.0, 2: 15.0}",0
0,536,1,4.44,{},0
0,537,1,0.06,{},0
0,538,1,14.7,"{1: 10.0, 2: 15.0}",0
0,539,1,4.82,{},0
0,540,1,0.06,{},0
0,541,1,14.76,"{1: 10.0, 2: 15.0}",0
0,542,1,4.54,{},0
0,543,1,0.07,{},0
0,544,1,14.92,"{1: 10.0, 2: 15.0}",0
0,545,1,4.8,{},0
0,546,1,0.21,{},0
0,547,1,15.06,"{1: 10.0, 2: 15.0}",0
0,548,1,5.0,{},0
0,549,1,-0.11,{},0
0,550,1,15.15,"{1: 10.0, 2: 15.0}",0
0,551,1,4.78,{},0
0,552,1,0.03,{},0
0,553,1,15.23,"{1: 10.0, 2: 15.0}",0
0,554,1,5.2,{},0
0,555,1,0.07,{},0
0,556,1,14.95,"{1: 10.0, 2: 15.0}",0
0,557,1,5.04,{},0
0,558,1,0.13,{},0
0,559,1,13.04,"{1: 10.0, 2: 15.0}",0
0,560,1,1.08,{},0
0,561,1,0.09,{},0
0,562,1,15.18,"{1: 10.0, 2: 15.0}",0
0,563,1,5.04,{},0
0,564,1,-0.11,{},0
0,565,1,15.09,"{1: 10.0, 2: 15.0}",0
0,566,1,5.1,{},0
0,567,1,0.02,{},0
0,568,1,15.16,"{1: 10.0, 2: 15.0}",0
0,569,1,4.9,{},0
0,570,1,0.15,{},0
0,571,1,14.84,"{1: 10.0, 2: 15.0}",0
0,572,1,4.7,{},0
0,573,1,0.12,{},0
0,574,1,14.96,"{1: 10.0, 2: 15.0}",0
0,575,1,4.68,{},0
0,576,1,0.02,{},0
0,577,1,15.29,"{1: 10.0, 2: 15.0}",0
0,578,1,5.5,{},0
0,579,1,-0.05,{},0
0,580,1,15.38,"{1: 10.0, 2: 15.0}",0
0,581,1,5.5,{},0
0,582,1,0.16,{},0
0,583,1,15.1,"{1: 10.0, 2: 15.0}",0
0,584,1,5.13,{},0
0,585,1,0.08,{},0
0,586,1,13.16,"{1: 10.0, 2: 15.0}",0
0,587,1,3.0,{},0
0,588,1,-0.06,{},0
0,589,1,15.39,"{1: 10.0, 2: 15.0}",0
0,590,1,5.17,{},0
0,591,1,-0.19,{},0
0,592,1,14.99,"{1: 10.0, 2: 15.0}",0
0,593,1,5.27,{},0
0,594,1,-0.03,{},0
0,595,1,15.21,"{1: 10.0, 2: 15.0}",0
0,596,1,5.26,{},0
0,597,1,0.0,{},0
0,598,1,14.68,"{1: 10.0, 2: 15.0}",0
0,599,1,4.91,{},0
0,600,1,0.16,{},0
0,601,1,15.02,"{1: 10.0, 2: 15.0}",0
0,602,1,4.97,{},0
0,603,1,0.13,{},0
0,604,1,15.18,"{1: 10.0, 2: 15.0}",0
0,605,1,5.22,{},0
0,606,1,-0.05,{},0
0,607,1,15.09,"{1: 10.0, 2: 15.0}",0
0,608,1,5.01,{},0
0,609,1,0.03,{},0
0,610,1,13.1,"{1: 10.0, 2: 15.0}",0
0,611,1,2.82,{},0
0,612,1,0.03,{},0
0,613,1,14.9,"{1: 10.0, 2: 15.0}",0
0,614,1,5.14,{},0
0,615,1,-0.08,{},0
0,616,1,15.2,"{1: 10.0, 2: 15.0}",0
0,617,1,5.13,{},0
0,618,1,-0.05,{},0
0,619,1,15.01,"{1: 10.0, 2: 15.0}",0
0,620,1,4.86,{},0
0,621,1,0.04,{},0
0,622,1,15.18,"{1: 10.0, 2: 15.0}",0
0,623,1,5.0,{},0
0,624,1,-0.08,{},0
0,625,1,13.16,"{1: 10.0, 2: 15.0}",0
0,626,1,1.14,{},0
0,627,1,-0.28,{},0
0,628,1,13.17,"{1: 10.0, 2: 15.0}",0
0,629,1,3.15,{},0
0,630,1,-0.03,{},0
0,631,1,15.46,"{1: 10.0, 2: 15.0}",0
0,632,1,5.32,{},0
0,633,1,-0.14,{},0
0,634,1,15.17,"{1: 10.0, 2: 15.0}",0
0,635,1,5.83,{},0
0,636,1,0.04,{},0
0,637,1,15.03,"{1: 10.0, 2: 15.0}",0
0,638,1,4.69,{},0
0,639,1,-0.01,{},0
0,640,1,14.98,"{1: 10.0, 2: 15.0}",0
0,641,1,4.91,{},0
0,642,1,0.05,{},0
0,643,1,14.9,"{1: 10.0, 2: 15.0}",0
0,644,1,5.26,{},0
0,645,1,0.02,{},0
0,646,1,14.97,"{1: 10.0, 2: 15.0}",0
0,647,1,2.72,{},0
0,648,1,0.02,{},0
0,649,1,14.46,"{1: 10.0, 2: 15.0}",0
0,650,1,2.55,{},0
0,651,1,-0.1,{},0
0,652,1,14.69,"{1: 10.0, 2: 15.0}",0
0,653,1,4.69,{},0
0,654,1,0.06,{},0
0,655,1,14.86,"{1: 10.0, 2: 15.0}",0
0,656,1,4.73,{},0
0,657,1,-0.08,{},0
0,658,1,14.89,"{1: 10.0, 2: 15.0}",0
0,659,1,4.6,{},0
0,660,1,-0.04,{},0
0,661,1,14.91,"{1: 10.0, 2: 15.0}",0
0,662,1,5.07,{},0
0,663,1,0.11,{},0
0,664,1,15.15,"{1: 10.0, 2: 15.0}",0
0,665,1,4.92,{},0
0,666,1,-0.06,{},0
0,667,1,14.69,"{1: 10.0, 2: 15.0}",0
0,668,1,5.04,{},0
0,669,1,-0.05,{},0
0,670,1,14.89,"{1: 10.0, 2: 15.0}",0
0,671,1,4.76,{},0
0,672,1,0.05,{},0
0,673,1,14.89,"{1: 10.0, 2: 15.0}",0
0,674,1,4.81,{},0
0,675,1,0.05,{},0
0,676,1,15.62,"{1: 10.0, 2: 15.0}",0
0,677,1,5.38,{},0
0,678,1,-0.18,{},0
0,679,1,14.89,"{1: 10.0, 2: 15.0}",0
0,680,1,5.09,{},0
0,681,1,-0.13,{},0
0,682,1,14.84,"{1: 10.0, 2: 15.0}",0
0,683,1,5.0,{},0
0,684,1,0.08,{},0
0,685,1,15.09,"{1: 10.0, 2: 15.0}",0
0,686,1,5.32,{},0
0,687,1,-0.18,{},0
0,688,1,15.03,"{1: 10.0, 2: 15.0}",0
0,689,1,5.19,{},0
0,690,1,0.09,{},0
0,691,1,15.33,"{1: 10.0, 2: 15.0}",0
0,692,1,5.5,{},0
0,693,1,-0.05,{},0
0,694,1,15.25,"{1: 10.0, 2: 15.0}",0
0,695,1,5.12,{},0
0,696,1,-0.0,{},0
0,697,1,12.82,"{1: 10.0, 2: 15.0}",0
0,698,1,2.49,{},0
0,699,1,-0.05,{},0
0,700,1,15.04,"{1: 10.0, 2: 15.0}",0
0,701,1,5.52,{},0
0,702,1,0.1,{},0
0,703,1,15.39,"{1: 10.0, 2: 15.0}",0
0,704,1,5.09,{},0
0,705,1,-0.03,{},0
0,706,1,14.81,"{1: 10.0, 2: 15.0}",0
0,707,1,4.67,{},0
0,708,1,-0.28,{},0
0,709,1,14.7,"{1: 10.0, 2: 15.0}",0
0,710,1,4.64,{},0
0,711,1,0.0,{},0
0,712,1,15.15,"{1: 10.0, 2: 15.0}",0
0,713,1,5.21,{},0
